Designator,Mid X,Mid Y,Rotation,Layer
BT1,109.74324,-81.69148,90.0,bottom
C1,110.236,-73.152,0.0,top
C12,130.048,-67.818,0.0,top
C13,126.492,-64.77,90.0,top
C14,121.158,-65.786,180.0,top
C2,135.128,-56.388,90.0,top
C3,113.0452,-78.80956,-90.0,top
C4,113.03,-59.436,90.0,top
C8,113.87328,-91.92652,90.0,top
C9,107.60964,-91.9316,-90.0,top
D1,114.3,-62.992,0.0,top
D2,120.752,-92.22,90.0,top
J1,107.52064,-55.93268,-90.0,top
J2,128.432,-59.436,0.0,top
J3,112.578,-96.3805,0.0,top
J4,133.096,-99.314,180.0,top
L1,119.5,-58.674,180.0,top
R1,120.65,-87.884,180.0,top
R2,113.538,-65.786,180.0,top
R3,117.348,-65.786,180.0,top
R4,113.73104,-84.27096,90.0,top
R5,117.856,-91.456,-90.0,top
R6,115.824,-88.392,0.0,top
R7,132.334,-46.99,180.0,top
R8,131.572,-88.646,0.0,top
SW1,107.4166,-65.69836,-90.0,top
SW4,131.826,-42.672,0.0,top
SW5,131.826,-51.308,0.0,top
U1,120.396,-62.992,0.0,top
U2,110.048,-76.624,-90.0,top
U4,110.68812,-88.06064,0.0,top
U5,123.942,-78.232,-90.0,top
U6,119.38,-36.118,0.0,top
